基金代码,基金简称,类型,2023-05-30-单位净值,2023-05-30-累计净值,2023-05-29-单位净值,2023-05-29-累计净值,增长值,增长率,市价,折价率
561300,国泰沪深300增强策略ETF行情,指数型-股票,0.7368,0.7368,0.7390,0.7390,-0.0022,-0.30%,---,---
561310,国泰中证消费电子主题ETF行情,指数型-股票,0.6785,0.6785,0.6711,0.6711,0.0074,1.10%,---,---
561320,国泰中证内地运输主题ETF行情,指数型-股票,0.9337,0.9337,0.9363,0.9363,-0.0026,-0.28%,---,---
561330,国泰中证有色金属矿业主题ETF行情,指数型-股票,0.9828,0.9828,0.9837,0.9837,-0.0009,-0.09%,---,---
561350,国泰中证500ETF行情,指数型-股票,0.8958,0.8958,0.8905,0.8905,0.0053,0.60%,---,---
561500,华泰柏瑞中证企业核心竞争力50ETF行情,指数型-股票,0.7400,0.7400,0.7397,0.7397,0.0003,0.04%,---,---
561510,华泰柏瑞中证中药ETF行情,指数型-股票,1.3270,1.3270,1.3314,1.3314,-0.0044,-0.33%,---,---
561550,华泰柏瑞中证500增强策略ETF行情,指数型-股票,0.8855,0.8855,0.8835,0.8835,0.0020,0.23%,---,---
561560,华泰柏瑞中证全指电力公用事业ETF行情,指数型-股票,1.1629,1.1629,1.1674,1.1674,-0.0045,-0.39%,---,---
561580,华泰柏瑞中证中央企业红利ETF行情,指数型-股票,1.0031,1.0031,1.0028,1.0028,0.0003,0.03%,---,---
561590,华泰柏瑞中证1000增强策略ETF行情,指数型-股票,0.9933,0.9933,0.9890,0.9890,0.0043,0.43%,---,---
561600,平安中证消费电子主题ETF行情,指数型-股票,0.7211,0.7211,0.7137,0.7137,0.0074,1.04%,---,---
561700,博时中证全指电力公用事业ETF行情,指数型-股票,1.0272,1.0272,1.0312,1.0312,-0.0040,-0.39%,---,---
561710,博时中证疫苗与生物技术ETF行情,指数型-股票,0.8172,0.8172,0.8245,0.8245,-0.0073,-0.89%,---,---
561800,华富中证稀有金属主题ETF行情,指数型-股票,0.6537,0.6537,0.6554,0.6554,-0.0017,-0.26%,---,---
561900,招商沪深300ESG基准ETF行情,指数型-股票,0.7796,0.7796,0.7782,0.7782,0.0014,0.18%,---,---
561910,招商中证电池主题ETF行情,指数型-股票,0.6227,0.6227,0.6174,0.6174,0.0053,0.86%,---,---
561920,招商中证疫苗与生物技术ETF行情,指数型-股票,0.9088,0.9088,0.9169,0.9169,-0.0081,-0.88%,---,---
561950,招商中证500增强策略ETF行情,指数型-股票,0.9387,0.9387,0.9350,0.9350,0.0037,0.40%,---,---
561960,招商中证国新央企股东回报ETF行情,指数型-股票,---,---,---,---,---,---,---,---
561990,招商沪深300增强策略ETF行情,指数型-股票,0.8037,0.8037,0.8029,0.8029,0.0008,0.10%,---,---
562000,华宝中证100ETF行情,指数型-股票,0.8926,0.8926,0.8903,0.8903,0.0023,0.26%,---,---
562010,华宝中证绿色能源ETF行情,指数型-股票,0.9060,0.9060,0.9030,0.9030,0.0030,0.33%,---,---
