date,increase_cnt,decrease_cnt,increase_rate
1992-03-03,7,7,1.0
1992-03-04,5,7,0.7142857142857143
1992-03-05,10,4,2.5
1992-03-06,6,6,1.0
1992-03-09,5,9,0.5555555555555556
1992-03-10,6,8,0.75
1992-03-11,6,7,0.8571428571428571
1992-03-12,9,4,2.25
1992-03-13,4,8,0.5
1992-03-16,6,6,1.0
1992-03-17,5,8,0.625
1992-03-18,6,7,0.8571428571428571
1992-03-19,3,11,0.2727272727272727
1992-03-20,3,12,0.25
1992-03-23,6,7,0.8571428571428571
1992-03-24,7,7,1.0
1992-03-25,8,6,1.3333333333333333
1992-03-26,11,3,3.6666666666666665
1992-03-27,9,4,2.25
1992-03-30,12,3,4.0
1992-03-31,10,5,2.0
1992-04-01,11,6,1.8333333333333333
1992-04-02,7,10,0.7
1992-04-03,5,13,0.38461538461538464
1992-04-06,13,4,3.25
1992-04-07,11,7,1.5714285714285714
1992-04-08,10,7,1.4285714285714286
1992-04-09,10,6,1.6666666666666667
1992-04-10,10,11,0.9090909090909091
1992-04-13,15,4,3.75
1992-04-14,15,4,3.75
1992-04-15,7,12,0.5833333333333334
1992-04-16,17,4,4.25
1992-04-17,8,11,0.7272727272727273
1992-04-18,0,1,0.0
1992-04-20,5,14,0.35714285714285715
1992-04-21,3,16,0.1875
1992-04-22,11,6,1.8333333333333333
1992-04-23,17,3,5.666666666666667
1992-04-24,14,6,2.3333333333333335
1992-04-27,8,13,0.6153846153846154
1992-04-28,15,6,2.5
1992-04-29,19,5,3.8
1992-04-30,17,5,3.4
1992-05-03,9,2,4.5
1992-05-04,16,5,3.2
1992-05-05,14,9,1.5555555555555556
1992-05-06,14,10,1.4
1992-05-07,10,16,0.625
1992-05-08,17,10,1.7
1992-05-11,25,3,8.333333333333334
1992-05-12,20,7,2.857142857142857
1992-05-13,16,12,1.3333333333333333
1992-05-14,17,11,1.5454545454545454
1992-05-15,24,4,6.0
1992-05-18,26,2,13.0
1992-05-19,27,0,inf
1992-05-20,15,13,1.1538461538461537
1992-05-21,20,8,2.5
1992-05-22,24,4,6.0
1992-05-25,27,1,27.0
1992-05-26,15,13,1.1538461538461537
1992-05-27,9,19,0.47368421052631576
1992-05-28,4,24,0.16666666666666666
1992-05-29,16,12,1.3333333333333333
1992-06-01,8,20,0.4
1992-06-02,3,26,0.11538461538461539
1992-06-03,1,28,0.03571428571428571
1992-06-04,24,5,4.8
1992-06-05,19,10,1.9
1992-06-08,5,24,0.20833333333333334
1992-06-09,11,18,0.6111111111111112
1992-06-10,27,2,13.5
1992-06-11,6,23,0.2608695652173913
1992-06-12,15,14,1.0714285714285714
1992-06-15,8,21,0.38095238095238093
1992-06-16,7,23,0.30434782608695654
1992-06-17,19,11,1.7272727272727273
1992-06-18,7,23,0.30434782608695654
